model,bills_evaluated,vendor_name_correct,invoice_number_correct,date_correct,amount_correct,currency_correct,gst_presence_correct,gst_gstin_correct,parse_failures,avg_cost_per_bill,cost_per_100_bills
claude-sonnet-4-20250514,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10/10,$0.000000,$0.0000
gemini-3.6-flash,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10/10,$0.000000,$0.0000
llama-3.3-70b-versatile,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10/10,$0.000000,$0.0000
openai/gpt-4o,10,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0/10,$0.003412,$0.3412
pixtral-12b-2409,4,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,6/10,$0.000167,$0.0167
